Inativo,Emp.,Dt.DAV,Nro.DAV,Item,Produto,Modelo,Qtd.,Vl.Total,Grupo,Detalhe
,42,2021-02-24,420002842,1,359448,SOLDA CORTESIA,1,0.01,,
,42,2021-02-24,420002841,1,356154,LENTE VX COMFORT SHORT ORMA TRANS ESTOQUE,1,720.0,,
,42,2021-02-24,420002841,2,356154,LENTE VX COMFORT SHORT ORMA TRANS ESTOQUE,1,720.0,,
,42,2021-02-24,420002840,1,371270,OL REC ZD4046 PRET/VERM,1,179.0,,
,42,2021-02-23,420002839,2,364762,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF",1,210.35,,
,42,2021-02-23,420002839,1,370061,ARM REC ATITUDE AT62661 1103,1,479.3,,
,42,2021-02-23,420002839,3,364762,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF",1,210.35,,
,42,2021-02-23,420002838,6,356154,LENTE VX COMFORT SHORT ORMA TRANS ESTOQUE,1,481.46,,
,42,2021-02-23,420002838,1,371258,OL REC VS1186 PRATA,1,304.7,,
,42,2021-02-23,420002838,2,30041,LENTE ORMA CRIZAL EASY PRONTA - IN,1,255.97,,
,42,2021-02-23,420002838,4,371262,OL REC BR2024 DOURADO,1,364.44,,
X,42,2021-02-23,420002838,5,356979,LENTE VX PHYSIO 1.67 TRANS  ESTOQUE,1,695.0,,
,42,2021-02-23,420002838,3,30041,LENTE ORMA CRIZAL EASY PRONTA - IN,1,255.97,,
,42,2021-02-23,420002838,7,356154,LENTE VX COMFORT SHORT ORMA TRANS ESTOQUE,1,481.46,,
,42,2021-02-23,420002837,2,30240,LENTE FOTOSSENSIVEL AR PRONTA - CIN,1,85.66,,
,42,2021-02-23,420002837,3,371275,OL REC ZX25012 AZUL,1,258.68,,
,42,2021-02-23,420002837,1,30240,LENTE FOTOSSENSIVEL AR PRONTA - CIN,1,85.66,,
,42,2021-02-23,420002836,1,366266,LENTE VX COMFORT ORMA TRANS CZ FORTE ESTOQUE,1,975.0,,
,42,2021-02-23,420002836,2,366266,LENTE VX COMFORT ORMA TRANS CZ FORTE ESTOQUE,1,975.0,,
,42,2021-02-23,420002835,1,52323,LENTE CR 1.49 AR ESPECIAL - IN,1,64.71,,
,42,2021-02-23,420002835,2,52323,LENTE CR 1.49 AR ESPECIAL - IN,1,64.71,,
,42,2021-02-23,420002835,3,366990,ARM REC FL MJ3830 C3,1,260.58,,
,42,2021-02-23,420002834,1,363117,LENTE TOTALL LUX BASIC 1.50 INC AR-STYLL,1,445.0,,
,42,2021-02-23,420002834,2,363117,LENTE TOTALL LUX BASIC 1.50 INC AR-STYLL,1,445.0,,
,42,2021-02-22,420002833,1,11969,ARMAÇÃO REC GL PROMOÇÃO GL_PROMO_DIV UNICA,1,49.99,,
,42,2021-02-22,420002832,2,40005,LENTE POLI INCOLOR SURFAÇADA ANT-REFLEXO - IN,1,243.22,,
,42,2021-02-22,420002832,3,371264,OL REC FY1113 BRANCO,1,269.34,,
,42,2021-02-22,420002832,1,40005,LENTE POLI INCOLOR SURFAÇADA ANT-REFLEXO - IN,1,243.22,,
,42,2021-02-22,420002832,5,52323,LENTE CR 1.49 AR ESPECIAL - IN,1,67.11,,
,42,2021-02-22,420002832,4,52323,LENTE CR 1.49 AR ESPECIAL - IN,1,67.11,,
,42,2021-02-22,420002831,1,369947,FL REC 1166 PRETO,1,241.13,,
,42,2021-02-22,420002831,3,30240,LENTE FOTOSSENSIVEL AR PRONTA - CIN,1,95.5,,
,42,2021-02-22,420002831,4,361836,MONTAGEM DE LENTE PRONTA,1,57.87,,
,42,2021-02-22,420002831,2,30240,LENTE FOTOSSENSIVEL AR PRONTA - CIN,1,95.5,,
,42,2021-02-22,420002830,2,358610,"LENTE CR 1.67 AR CIL ACIMA DE 2,00 PRONTA",1,211.35,,
