 ,Emp.,Dt.DAV,Nro.DAV,Item,Produto,Modelo,Qtd.,Vl.Total,Grupo,Detalhe
,48,2023-05-24,480003449,2,366190.0,LENTE CR INCOLOR FOSCA,1,7.0,,
,48,2023-05-24,480003449,3,356971.0,LENTE ARGOS CR 39 CLEAN EXTRA - IN,1,753.0,,
,48,2023-05-24,480003449,4,356971.0,LENTE ARGOS CR 39 CLEAN EXTRA - IN,1,753.0,,
,48,2023-05-24,480003448,1,361831.0,AJUSTES NA ARMAÇÃO,1,240.0,,
,48,2023-05-24,480003447,1,370610.0,SOLDA GARANTIA,1,0.01,,
,48,2023-05-24,480003446,1,30050.0,LENTE CR INCOLOR PRONTA - IN,1,125.0,,
,48,2023-05-24,480003446,2,30050.0,LENTE CR INCOLOR PRONTA - IN,1,125.0,,
X,48,2023-05-23,480003445,1,361842.0,LIMPEZA COMPLETA COM AJUSTES,1,19.99,,
,48,2023-05-23,480003445,2,361842.0,LIMPEZA COMPLETA COM AJUSTES,1,50.0,,
,48,2023-05-23,480003444,1,356288.0,LENTE AMPLUS 1.50 CLEAN EXTRA-INC,1,769.5,,
,48,2023-05-23,480003444,2,356288.0,LENTE AMPLUS 1.50 CLEAN EXTRA-INC,1,769.5,,
X,48,2023-05-23,480003443,1,361842.0,LIMPEZA COMPLETA COM AJUSTES,1,19.99,,
,48,2023-05-23,480003443,2,361842.0,ARMAÇÃO,1,200.0,,
,48,2023-05-23,480003442,1,374633.0,REC ASPEN AS1305 C1,1,250.0,,
,48,2023-05-23,480003441,1,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,700.0,,
,48,2023-05-23,480003441,2,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,700.0,,
X,48,2023-05-23,480003440,1,359448.0,SOLDA CORTESIA,1,0.01,,
,48,2023-05-23,480003440,2,359448.0,ARMAÇÃO,1,200.0,,
,48,2023-05-23,480003439,1,370610.0,SOLDA GARANTIA,1,0.01,,
,48,2023-05-22,480003438,1,362221.0,LENTE CR LED BLUE PRONTA,1,140.0,,
,48,2023-05-22,480003438,2,362221.0,LENTE CR LED BLUE PRONTA,1,140.0,,
,48,2023-05-22,480003438,3,384918.0,BELLATIS REC FD633159 C6,1,200.0,,
X,48,2023-05-22,480003437,1,361842.0,LIMPEZA COMPLETA COM AJUSTES,1,19.99,,
,48,2023-05-22,480003437,2,361842.0,LIMPEZA COMPLETA COM AJUSTES,1,70.0,,
,48,2023-05-20,480003436,1,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1,370.0,,
,48,2023-05-20,480003436,2,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1,370.0,,
,48,2023-05-20,480003436,3,362221.0,LENTE CR LED BLUE PRONTA,1,295.0,,
,48,2023-05-20,480003436,4,362221.0,LENTE CR LED BLUE PRONTA,1,295.0,,
,48,2023-05-20,480003435,1,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,275.0,,
,48,2023-05-20,480003435,2,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,275.0,,
,48,2023-05-20,480003434,1,368995.0,LENTE POLY AR BLUE UV PRONTA,1,325.0,,
,48,2023-05-20,480003434,2,368995.0,LENTE POLY AR BLUE UV PRONTA,1,325.0,,
X,48,2023-05-20,480003433,1,385097.0,LENTE CR 1.56 CIL ACIMA DE 2 BLUE AZUL PRONT,1,250.0,,
X,48,2023-05-20,480003433,2,385097.0,LENTE CR 1.56 CIL ACIMA DE 2 BLUE AZUL PRONT,1,250.0,,
,48,2023-05-20,480003432,1,368995.0,LENTE POLY AR BLUE UV PRONTA,1,140.0,,
,48,2023-05-20,480003432,2,368995.0,LENTE POLY AR BLUE UV PRONTA,1,140.0,,
,48,2023-05-20,480003432,3,384297.0,OL KIDS REC S8143P C22,1,100.0,,
,48,2023-05-20,480003431,1,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,225.0,,
,48,2023-05-20,480003431,2,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,225.0,,
,48,2023-05-20,480003430,1,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,330.0,,
,48,2023-05-20,480003430,2,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,330.0,,
,48,2023-05-20,480003430,3,368995.0,LENTE POLY AR BLUE UV PRONTA,1,220.0,,
,48,2023-05-20,480003430,4,368995.0,LENTE POLY AR BLUE UV PRONTA,1,220.0,,
,48,2023-05-20,480003429,1,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1,375.0,,
,48,2023-05-20,480003429,2,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1,375.0,,
,48,2023-05-20,480003428,1,30399.0,LENTE MULTIFOCAL CR INCOLOR - IN,1,275.0,,
,48,2023-05-20,480003428,2,30399.0,LENTE MULTIFOCAL CR INCOLOR - IN,1,275.0,,
,48,2023-05-20,480003428,3,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,300.0,,
,48,2023-05-20,480003428,4,381867.0,FL REC YC8006 C1,1,49.99,,
,48,2023-05-20,480003428,5,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,300.01,,
,48,2023-05-19,480003427,1,379321.0,REC J. MARCELL JM1030 08A,1,350.0,,
,48,2023-05-19,480003427,2,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,165.0,,
,48,2023-05-19,480003427,3,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,165.0,,
,48,2023-05-19,480003426,1,359448.0,SOLDA CORTESIA,1,0.01,,
X,48,2023-05-18,480003425,1,10448.0,SOLDA COMUM,1,49.99,,
,48,2023-05-18,480003425,2,10448.0,SOLDA COMUM,1,60.0,,
,48,2023-05-17,480003424,1,366190.0,LENTE CR INCOLOR FOSCA,1,40.0,,
,48,2023-05-17,480003424,2,366190.0,LENTE CR INCOLOR FOSCA,1,40.0,,
,48,2023-05-17,480003424,3,30009.0,LENTE MULTIFOCAL CR FOTO - FT,1,460.0,,
,48,2023-05-17,480003424,4,30009.0,LENTE MULTIFOCAL CR FOTO - FT,1,460.0,,
,48,2023-05-16,480003423,1,362221.0,LENTE CR LED BLUE PRONTA,1,200.0,,
,48,2023-05-16,480003423,2,362221.0,LENTE CR LED BLUE PRONTA,1,200.0,,
,48,2023-05-16,480003422,1,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,125.0,,
,48,2023-05-16,480003422,2,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,125.0,,
,48,2023-05-16,480003422,3,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,125.0,,
,48,2023-05-16,480003422,4,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,125.0,,
,48,2023-05-16,480003421,1,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,325.0,,
,48,2023-05-16,480003421,2,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,325.0,,
,48,2023-05-16,480003420,1,360262.0,LENTE MULTIFOCAL C.O DIGITAL CR,1,290.0,,
,48,2023-05-16,480003420,2,360262.0,LENTE MULTIFOCAL C.O DIGITAL CR,1,290.0,,
,48,2023-05-15,480003419,1,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1,370.0,,
,48,2023-05-15,480003419,2,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1,370.0,,
,48,2023-05-15,480003419,3,366190.0,LENTE CR INCOLOR FOSCA,1,40.0,,
,48,2023-05-15,480003419,4,366190.0,LENTE CR INCOLOR FOSCA,1,40.0,,
,48,2023-05-15,480003419,5,381092.0,REC TNG EYEWEAR FD8487 C1,1,430.0,,
,48,2023-05-15,480003418,1,30061.0,LENTE CR 1.67 AR PRONTA - IN,1,387.5,,
,48,2023-05-15,480003418,2,30061.0,LENTE CR 1.67 AR PRONTA - IN,1,387.5,,
,48,2023-05-15,480003417,1,377750.0,BELLATIS REC BR0708 C5,1,300.0,,
,48,2023-05-15,480003417,2,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,150.0,,
,48,2023-05-15,480003417,3,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,150.0,,
,48,2023-05-12,480003416,1,374463.0,LENTE MULTI CR BLUE ESF +3.00 AD +3.00,1,365.0,,
,48,2023-05-12,480003416,2,374463.0,LENTE MULTI CR BLUE ESF +3.00 AD +3.00,1,365.0,,
,48,2023-05-12,480003416,3,379347.0,ARM REC BULGET BG1619TN 09A,1,350.0,,
,48,2023-05-11,480003415,1,361842.0,LIMPEZA COMPLETA COM AJUSTES,1,10.0,,
,48,2023-05-11,480003414,1,361829.0,PLAQUETA,1,65.0,,
,48,2023-05-11,480003413,1,384917.0,BELLATIS REC RHAR-H2382 COL.05,1,199.0,,
,48,2023-05-11,480003413,2,30047.0,LENTE POLI INCOLOR PRONTA ATE +400 ESF CIL ATE 2,1,55.0,,
,48,2023-05-11,480003413,3,30047.0,LENTE POLI INCOLOR PRONTA ATE +400 ESF CIL ATE 2,1,55.0,,
,48,2023-05-11,480003413,4,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,95.5,,
,48,2023-05-11,480003413,5,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,95.5,,
,48,2023-05-09,480003412,1,370610.0,SOLDA GARANTIA,1,0.01,,
,48,2023-05-09,480003411,1,30050.0,LENTE CR INCOLOR PRONTA - IN,1,175.0,,
,48,2023-05-09,480003411,2,30050.0,LENTE CR INCOLOR PRONTA - IN,1,175.0,,
,48,2023-05-09,480003410,1,361842.0,LIMPEZA COMPLETA COM AJUSTES,1,60.0,,
,48,2023-05-09,480003409,1,10448.0,SOLDA COMUM,1,40.0,,
,48,2023-05-09,480003408,1,361842.0,ARMAÇÃO,1,125.0,,
,48,2023-05-08,480003407,1,362221.0,LENTE CR LED BLUE PRONTA,1,225.0,,
,48,2023-05-08,480003407,2,362221.0,LENTE CR LED BLUE PRONTA,1,225.0,,
,48,2023-05-08,480003406,1,366435.0,"LENTE MULTI POLI AR PRONTA ESF ATE +2,00 AD ATE3,0",1,190.0,,
,48,2023-05-08,480003406,2,366435.0,"LENTE MULTI POLI AR PRONTA ESF ATE +2,00 AD ATE3,0",1,190.0,,
,48,2023-05-08,480003405,1,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,280.0,,
,48,2023-05-08,480003405,2,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,280.0,,
,48,2023-05-08,480003405,3,366190.0,LENTE CR INCOLOR FOSCA,1,55.0,,
,48,2023-05-08,480003405,4,366190.0,LENTE CR INCOLOR FOSCA,1,55.0,,
X,48,2023-05-06,480003404,1,361842.0,LIMPEZA COMPLETA COM AJUSTES,1,19.99,,
,48,2023-05-06,480003404,2,361842.0,LIMPEZA COMPLETA COM AJUSTES,1,50.0,,
,48,2023-05-06,480003403,1,370610.0,SOLDA GARANTIA,1,0.01,,
X,48,2023-05-05,480003402,1,10448.0,SOLDA COMUM,1,49.99,,
,48,2023-05-05,480003402,2,10448.0,ARMAÇÃO,1,200.0,,
,48,2023-05-05,480003401,1,30058.0,LENTE POLI 1.59 AR PRONTA - IN,1,237.5,,
,48,2023-05-05,480003401,2,30058.0,LENTE POLI 1.59 AR PRONTA - IN,1,237.5,,
,48,2023-05-04,480003400,1,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,250.0,,
,48,2023-05-04,480003400,2,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,250.0,,
,48,2023-05-04,480003400,3,30214.0,"LENTE CR AR 1.56 CIL ACIMA DE 200 ATE -5,00",1,15.0,,
,48,2023-05-04,480003400,4,30214.0,"LENTE CR AR 1.56 CIL ACIMA DE 200 ATE -5,00",1,15.0,,
,48,2023-05-04,480003400,5,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,240.0,,
,48,2023-05-04,480003400,6,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,240.0,,
,48,2023-05-04,480003399,1,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,255.0,,
,48,2023-05-04,480003399,2,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,255.0,,
,48,2023-05-03,480003398,1,377442.0,LENTE KODAK  1.56 CR BLUE UV,1,150.0,,
,48,2023-05-03,480003398,2,377442.0,LENTE KODAK  1.56 CR BLUE UV,1,150.0,,
,48,2023-05-03,480003398,3,40008.0,LENTE MULTIFOCAL POLI FOTO DIGITAL ANT-REFLEXO - F,1,750.0,,
,48,2023-05-03,480003398,4,40008.0,LENTE MULTIFOCAL POLI FOTO DIGITAL ANT-REFLEXO - F,1,750.0,,
,48,2023-05-03,480003398,5,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,99.0,,
,48,2023-05-03,480003398,6,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,99.0,,
,48,2023-05-03,480003398,7,30059.0,"LENTE CR AR PRONTA 4,25 ATÉ 6,00 ESF CIL ATÉ 2,00",1,90.5,,
,48,2023-05-03,480003398,8,30059.0,"LENTE CR AR PRONTA 4,25 ATÉ 6,00 ESF CIL ATÉ 2,00",1,90.5,,
X,48,2023-05-03,480003397,1,361842.0,LIMPEZA COMPLETA COM AJUSTES,1,19.99,,
,48,2023-05-03,480003397,2,361842.0,LIMPEZA COMPLETA COM AJUSTES,1,60.0,,
,48,2023-05-02,480003396,1,375543.0,LENTE KODAK  POLI BLUE UV,1,294.5,,
,48,2023-05-02,480003396,2,375543.0,LENTE KODAK  POLI BLUE UV,1,294.5,,
,48,2023-05-02,480003396,3,377442.0,LENTE KODAK  1.56 CR BLUE UV,1,150.0,,
,48,2023-05-02,480003396,4,377442.0,LENTE KODAK  1.56 CR BLUE UV,1,150.0,,
,48,2023-05-02,480003395,1,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,199.5,,
,48,2023-05-02,480003395,2,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,199.5,,
,48,2023-05-02,480003394,1,371054.0,LENTE KODAK PRECISE 1.50 INCOLOR CZ EASY,1,399.5,,
,48,2023-05-02,480003394,2,371054.0,LENTE KODAK PRECISE 1.50 INCOLOR CZ EASY,1,399.5,,
,42,2023-05-31,420007689,1,40181.0,LENTE VARILUX LIBERTY AIRWEAR  ANT-REFLE - IN,1,1080.0,,
,42,2023-05-31,420007689,2,40181.0,LENTE VARILUX LIBERTY AIRWEAR  ANT-REFLE - IN,1,1080.0,,
,42,2023-05-31,420007689,3,362221.0,LENTE CR LED BLUE PRONTA,1,150.0,,
,42,2023-05-31,420007689,4,362221.0,LENTE CR LED BLUE PRONTA,1,150.0,,
,42,2023-05-31,420007689,5,362221.0,LENTE CR LED BLUE PRONTA,1,220.0,,
,42,2023-05-31,420007689,6,362221.0,LENTE CR LED BLUE PRONTA,1,220.0,,
X,42,2023-05-31,420007688,1,361827.0,ARMAÇÃO,1,150.0,,
,42,2023-05-31,420007687,1,369009.0,LENTE MULTIFOCAL CR 167 DIGITAL AR,1,1150.0,,
,42,2023-05-31,420007687,2,369009.0,LENTE MULTIFOCAL CR 167 DIGITAL AR,1,1150.0,,
,42,2023-05-30,420007686,1,30009.0,LENTE MULTIFOCAL CR FOTO - FT,1,400.0,,
,42,2023-05-30,420007686,2,30009.0,LENTE MULTIFOCAL CR FOTO - FT,1,400.0,,
,42,2023-05-30,420007685,1,364762.0,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF AD3",1,225.0,,
,42,2023-05-30,420007685,2,364762.0,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF AD3",1,225.0,,
,42,2023-05-30,420007684,1,52323.0,LENTE CR 1.49 AR ESPECIAL - IN,1,112.5,,
,42,2023-05-30,420007684,2,52323.0,LENTE CR 1.49 AR ESPECIAL - IN,1,112.5,,
,42,2023-05-30,420007684,3,52323.0,LENTE CR 1.49 AR ESPECIAL - IN,1,112.5,,
,42,2023-05-30,420007684,4,52323.0,LENTE CR 1.49 AR ESPECIAL - IN,1,112.5,,
X,42,2023-05-30,420007683,1,30399.0,LENTE MULTIFOCAL CR INCOLOR - IN,1,200.0,,
X,42,2023-05-30,420007683,2,30399.0,LENTE MULTIFOCAL CR INCOLOR - IN,1,200.0,,
,42,2023-05-30,420007682,1,381341.0,LENTE 1.56 MULTI AR EXTERNO PROGRESSIVE,1,350.0,,
,42,2023-05-30,420007682,2,381341.0,LENTE 1.56 MULTI AR EXTERNO PROGRESSIVE,1,350.0,,
,42,2023-05-30,420007681,1,30399.0,LENTE MULTIFOCAL CR INCOLOR - IN,1,140.0,,
,42,2023-05-30,420007681,2,30399.0,LENTE MULTIFOCAL CR INCOLOR - IN,1,140.0,,
,42,2023-05-30,420007680,1,52323.0,LENTE CR 1.49 AR ESPECIAL - IN,1,175.0,,
,42,2023-05-30,420007680,2,52323.0,LENTE CR 1.49 AR ESPECIAL - IN,1,175.0,,
X,42,2023-05-30,420007679,1,30060.0,LENTE CR 1.61 AR PRONTA - IN,1,147.0,,
,42,2023-05-30,420007678,1,370610.0,SOLDA GARANTIA,1,0.01,,
X,42,2023-05-30,420007677,1,360262.0,LENTE MULTIFOCAL C.O DIGITAL CR,1,250.0,,
X,42,2023-05-30,420007677,2,360262.0,LENTE MULTIFOCAL C.O DIGITAL CR,1,250.0,,
,42,2023-05-29,420007676,1,378242.0,LENTE CR LED BLUE PRONTA RESIDUAL VERDE,1,300.0,,
,42,2023-05-29,420007676,2,378242.0,LENTE CR LED BLUE PRONTA RESIDUAL VERDE,1,300.0,,
,42,2023-05-29,420007676,3,371331.0,"LENTE FOTOSSENSIVEL BLUE UV -4,00 + 3,00 ESF CIL 2",1,300.0,,
,42,2023-05-29,420007676,4,371331.0,"LENTE FOTOSSENSIVEL BLUE UV -4,00 + 3,00 ESF CIL 2",1,300.0,,
,42,2023-05-29,420007675,1,367475.0,LENTE SWISS BE 4TY 1.67 INC COM AR SHA,1,60.5,,
,42,2023-05-29,420007675,2,367475.0,LENTE SWISS BE 4TY 1.67 INC COM AR SHA,1,60.5,,
,42,2023-05-29,420007675,3,30011.0,LENTE MULTIFOCAL CR INCOLOR -IN,1,27.5,,
,42,2023-05-29,420007675,4,30011.0,LENTE MULTIFOCAL CR INCOLOR -IN,1,27.5,,
,42,2023-05-29,420007675,5,30357.0,LENTE STYLIS 1.67 SURFAÇADA CRIZAL ROCK,1,1812.0,,
,42,2023-05-29,420007675,6,30357.0,LENTE STYLIS 1.67 SURFAÇADA CRIZAL ROCK,1,1812.0,,
,42,2023-05-29,420007674,1,362221.0,LENTE CR LED BLUE PRONTA,1,200.0,,
,42,2023-05-29,420007674,2,362221.0,LENTE CR LED BLUE PRONTA,1,200.0,,
,42,2023-05-29,420007673,1,30009.0,LENTE MULTIFOCAL CR FOTO - FT,1,400.0,,
,42,2023-05-29,420007673,2,30009.0,LENTE MULTIFOCAL CR FOTO - FT,1,400.0,,
X,42,2023-05-29,420007672,1,10448.0,SOLDA COMUM,1,49.99,,
,42,2023-05-29,420007672,3,10448.0,ARMAÇÃO,1,150.0,,
X,42,2023-05-27,420007671,1,356288.0,LENTE AMPLUS 1.50 CLEAN EXTRA-INC,1,750.0,,
X,42,2023-05-27,420007671,2,356288.0,LENTE AMPLUS 1.50 CLEAN EXTRA-INC,1,750.0,,
,42,2023-05-26,420007670,1,30011.0,LENTE MULTIFOCAL CR INCOLOR -IN,1,150.0,,
,42,2023-05-26,420007670,2,30011.0,LENTE MULTIFOCAL CR INCOLOR -IN,1,150.0,,
,42,2023-05-25,420007669,1,40006.0,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1,350.0,,
,42,2023-05-25,420007669,2,40006.0,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1,350.0,,
X,42,2023-05-25,420007668,1,30009.0,LENTE MULTIFOCAL CR FOTO - FT,1,400.0,,
X,42,2023-05-25,420007668,2,30009.0,LENTE MULTIFOCAL CR FOTO - FT,1,400.0,,
,42,2023-05-24,420007667,1,362221.0,LENTE CR LED BLUE PRONTA,1,350.0,,
,42,2023-05-24,420007667,2,362221.0,LENTE CR LED BLUE PRONTA,1,350.0,,
,42,2023-05-23,420007666,1,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1,500.0,,
,42,2023-05-23,420007666,2,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1,500.0,,
,42,2023-05-23,420007666,3,30214.0,"LENTE CR AR 1.56 CIL ACIMA DE 200 ATE -5,00",1,150.0,,
